iter	Passed	Remaining
151	395	2205
152	395	2191
153	396	2177
154	396	2164
155	397	2150
156	398	2137
157	398	2123
158	398	2110
159	399	2096
160	399	2082
161	400	2070
162	401	2059
163	401	2048
164	402	2036
165	403	2025
166	403	2014
167	404	2002
168	404	1990
169	405	1979
170	405	1967
171	406	1956
172	406	1944
173	407	1933
174	407	1922
175	408	1911
176	408	1900
177	409	1889
178	409	1878
179	410	1867
180	410	1857
181	410	1846
182	411	1836
183	411	1826
184	412	1816
185	412	1806
186	413	1796
187	413	1786
188	414	1776
189	414	1767
190	414	1757
191	415	1748
192	416	1740
193	416	1731
194	417	1722
195	417	1713
196	418	1704
197	418	1695
198	419	1686
199	419	1677
200	419	1669
201	420	1660
202	420	1652
203	421	1643
204	421	1635
205	422	1627
206	422	1619
207	423	1611
208	423	1603
209	424	1595
210	424	1587
211	424	1579
212	425	1571
213	425	1564
214	426	1556
215	426	1549
216	427	1541
217	427	1534
218	428	1527
219	428	1520
220	429	1513
221	429	1506
222	430	1499
223	431	1493
224	431	1487
225	432	1480
226	432	1474
227	433	1467
228	433	1460
229	434	1453
230	434	1447
231	435	1440
232	435	1434
233	436	1427
234	436	1421
235	437	1414
236	437	1408
237	437	1402
238	438	1395
239	438	1389
240	439	1383
241	439	1377
242	440	1371
243	440	1365
244	441	1359
245	441	1353
246	442	1347
247	442	1342
248	443	1336
249	443	1330
250	444	1325
251	444	1319
252	444	1313
253	445	1307
254	445	1302
255	446	1296
256	446	1292
257	447	1287
258	448	1282
259	448	1276
260	449	1271
261	449	1266
262	450	1261
263	450	1256
264	451	1250
265	451	1245
266	451	1240
267	452	1235
268	452	1230
269	453	1225
270	453	1220
271	454	1215
272	454	1210
273	455	1206
274	455	1201
275	456	1196
276	456	1191
277	456	1186
278	457	1182
279	457	1177
280	458	1172
281	458	1168
282	459	1163
283	459	1158
284	460	1154
285	460	1150
286	461	1145
287	461	1141
288	462	1137
289	463	1133
290	463	1129
291	464	1125
292	464	1120
293	464	1116
294	465	1112
295	465	1108
296	466	1103
297	466	1099
298	467	1095
299	467	1091
300	468	1087
301	468	1083
302	469	1079
303	469	1075
304	470	1071
305	470	1067
306	471	1063
307	471	1059
308	472	1055
309	472	1051
310	473	1048
311	473	1044
312	474	1040
313	474	1036
314	475	1032
315	475	1029
316	475	1025
317	476	1021
318	476	1018
319	477	1014
320	478	1011
321	479	1008
322	479	1005
323	480	1002
324	480	998
325	481	994
326	481	991
327	482	987
328	482	984
329	483	980
330	483	977
331	484	973
332	484	970
333	484	966
334	485	963
335	485	959
336	486	956
337	487	954
338	487	950
339	488	947
340	488	944
341	488	940
342	489	937
343	489	934
344	490	930
345	490	927
346	491	924
347	491	921
348	492	918
349	492	915
350	493	912
351	494	909
352	494	906
353	495	903
354	495	900
355	495	897
356	496	894
357	496	891
358	497	888
359	497	885
360	498	882
361	498	879
362	499	876
363	499	873
364	500	870
365	500	867
366	501	864
367	501	861
368	501	858
369	502	855
370	502	852
371	503	849
372	503	846
373	504	844
374	504	841
375	505	838
376	505	835
377	506	833
378	506	830
379	507	827
380	507	824
381	508	822
382	509	820
383	509	817
384	510	814
385	510	812
386	511	809
387	511	806
388	511	804
389	512	801
390	512	798
391	513	796
392	513	793
393	514	790
394	514	788
395	515	785
396	515	783
397	516	780
398	516	778
399	517	775
400	517	772
401	517	770
402	518	767
403	518	765
404	519	762
405	519	760
406	520	757
407	520	755
408	521	752
409	521	750
410	521	747
411	522	745
412	522	743
413	523	740
414	523	738
415	524	736
416	525	734
417	525	731
418	525	729
419	526	726
420	526	724
421	527	722
422	527	719
423	528	717
424	528	715
425	529	712
426	529	710
427	530	708
428	530	706
429	530	703
430	531	701
431	531	699
432	532	696
433	532	694
434	533	692
435	533	690
436	534	688
437	534	686
438	535	683
439	535	681
440	536	679
441	536	677
442	536	675
443	537	672
444	537	670
445	538	668
446	538	666
447	539	664
448	540	662
449	540	660
450	541	658
451	541	656
452	542	654
453	542	652
454	543	650
455	543	648
456	543	646
457	544	644
458	544	642
459	545	640
460	545	638
461	546	636
462	546	634
463	547	631
464	547	630
465	548	627
466	548	625
467	548	623
468	549	621
469	549	620
470	550	618
471	550	616
472	551	614
473	551	612
474	552	610
475	552	608
476	552	606
477	553	604
478	553	602
479	554	600
480	555	599
481	555	597
482	556	595
483	556	593
484	557	591
485	557	589
486	558	587
487	558	586
488	559	584
489	559	582
490	559	580
491	560	578
492	560	576
493	561	574
494	561	573
495	562	571
496	562	569
497	563	567
498	563	565
499	564	564
500	564	562
501	564	560
502	565	558
503	565	556
504	566	555
505	566	553
506	567	551
507	567	549
508	568	548
509	568	546
510	568	544
511	569	542
512	570	541
513	570	539
514	571	538
515	571	536
516	572	534
517	572	532
518	573	531
519	573	529
520	574	527
521	574	526
522	574	524
523	575	522
524	575	520
525	576	519
526	576	517
527	577	515
528	577	514
529	578	512
530	578	510
531	578	509
532	579	507
533	579	505
534	580	504
535	580	502
536	581	501
537	581	499
538	582	497
539	582	496
540	582	494
541	583	493
542	583	491
543	584	489
544	584	488
545	585	486
546	586	485
547	587	484
548	587	483
549	588	481
550	589	480
551	589	478
552	590	477
553	590	475
554	591	474
555	591	472
556	592	471
557	592	469
558	593	468
559	593	466
560	594	464
561	594	463
562	595	461
563	595	460
564	595	458
565	596	457
566	596	455
567	597	454
568	597	452
569	598	451
570	598	449
571	599	448
572	599	446
573	600	445
574	601	444
575	601	442
576	602	441
577	602	440
578	603	438
579	603	437
580	604	435
581	604	434
582	605	432
583	605	431
584	606	430
585	606	428
586	607	427
587	607	425
588	608	424
589	608	423
590	609	421
591	609	420
592	610	418
593	610	417
594	611	415
595	611	414
596	611	413
597	612	411
598	612	410
599	613	408
600	613	407
601	614	406
602	614	404
603	615	403
604	615	401
605	616	400
606	616	399
607	617	398
608	618	396
609	618	395
610	618	394
611	619	392
612	619	391
613	620	390
614	620	388
615	621	387
616	621	385
617	622	384
618	622	383
619	623	381
620	623	380
621	624	379
622	624	377
623	625	376
624	625	375
625	626	374
626	626	372
627	626	371
628	627	370
629	627	368
630	628	367
631	628	366
632	629	364
633	629	363
634	630	362
635	630	360
636	631	359
637	631	358
638	632	357
639	633	356
640	633	354
641	634	353
642	634	352
643	635	351
644	635	349
645	636	348
646	636	347
647	636	346
648	637	344
649	637	343
650	638	342
651	638	340
652	639	339
653	639	338
654	640	337
655	640	335
656	641	334
657	641	333
658	641	332
659	642	330
660	642	329
661	643	328
662	643	327
663	644	326
664	644	324
665	645	323
666	645	322
667	646	321
668	646	319
669	647	318
670	648	317
671	648	316
672	648	315
673	649	314
674	649	312
675	650	311
676	650	310
677	651	309
678	651	308
679	652	306
680	652	305
681	653	304
682	653	303
683	654	302
684	654	301
685	655	299
686	655	298
687	655	297
688	656	296
689	656	295
690	657	293
691	657	292
692	658	291
693	658	290
694	659	289
695	659	288
696	660	287
697	660	285
698	661	284
699	661	283
700	662	282
701	662	281
702	663	280
703	663	279
704	664	278
705	664	276
706	665	275
707	665	274
708	666	273
709	666	272
710	667	271
711	667	270
712	668	268
713	668	267
714	669	266
715	669	265
716	669	264
717	670	263
718	670	262
719	671	261
720	671	259
721	672	258
722	672	257
723	673	256
724	673	255
725	674	254
726	674	253
727	674	252
728	675	251
729	675	249
730	676	248
731	676	247
732	677	246
733	677	245
734	678	244
735	679	243
736	679	242
737	680	241
738	680	240
739	680	239
740	681	238
741	681	237
742	682	236
743	682	234
744	683	233
745	683	232
746	684	231
747	684	230
748	685	229
749	685	228
750	686	227
751	686	226
752	686	225
753	687	224
754	687	223
755	688	222
756	688	221
757	689	220
758	689	218
759	690	217
760	690	216
761	691	215
762	691	214
763	691	213
764	692	212
765	692	211
766	694	210
767	695	209
768	695	209
769	696	208
770	697	207
771	697	206
772	698	205
773	699	204
774	699	203
775	699	202
776	700	201
777	700	199
778	701	198
779	701	197
780	702	196
781	702	195
782	703	194
783	703	193
784	704	192
785	704	191
786	705	190
787	705	189
788	706	188
789	706	187
790	706	186
791	707	185
792	707	184
793	708	183
794	709	182
795	709	181
796	710	180
797	710	179
798	711	178
799	711	177
800	712	176
801	712	175
802	713	174
803	713	173
804	714	172
805	714	171
806	714	170
807	715	170
808	715	169
809	716	168
810	716	167
811	717	166
812	717	165
813	718	164
814	718	163
815	719	162
816	719	161
817	720	160
818	720	159
819	721	158
820	721	157
821	722	156
822	722	155
823	722	154
824	723	153
825	724	152
826	724	151
827	725	150
828	725	149
829	726	148
830	726	147
831	727	146
832	727	145
833	728	144
834	728	143
835	729	143
836	729	142
837	729	141
838	730	140
839	730	139
840	731	138
841	731	137
842	732	136
843	732	135
844	733	134
845	733	133
846	734	132
847	734	131
848	734	130
849	735	129
850	736	128
851	736	127
852	737	127
853	737	126
854	737	125
855	738	124
856	738	123
857	739	122
858	740	121
859	740	120
860	741	119
861	741	118
862	741	117
863	742	116
864	742	115
865	743	115
866	743	114
867	744	113
868	744	112
869	745	111
870	745	110
871	746	109
872	746	108
873	747	107
874	747	106
875	748	105
876	748	104
877	749	104
878	749	103
879	749	102
880	750	101
881	750	100
882	751	99
883	751	98
884	752	97
885	752	96
886	753	96
887	754	95
888	755	94
889	755	93
890	756	92
891	756	91
892	757	90
893	757	89
894	758	88
895	758	88
896	759	87
897	759	86
898	760	85
899	760	84
900	760	83
901	761	82
902	761	81
903	762	80
904	762	80
905	763	79
906	763	78
907	764	77
908	764	76
909	765	75
910	765	74
911	766	73
912	766	73
913	767	72
914	767	71
915	768	70
916	768	69
917	769	68
918	769	67
919	770	66
920	770	66
921	771	65
922	771	64
923	772	63
924	772	62
925	773	61
926	773	60
927	774	60
928	774	59
929	775	58
930	775	57
931	775	56
932	776	55
933	776	54
934	777	54
935	777	53
936	778	52
937	778	51
938	779	50
939	779	49
940	780	48
941	780	48
942	781	47
943	781	46
944	781	45
945	782	44
946	782	43
947	783	42
948	783	42
949	784	41
950	784	40
951	785	39
952	786	38
953	786	37
954	787	37
955	787	36
956	788	35
957	788	34
958	788	33
959	789	32
960	789	32
961	790	31
962	790	30
963	791	29
964	791	28
965	792	27
966	792	27
967	793	26
968	793	25
969	794	24
970	794	23
971	795	22
972	795	22
973	796	21
974	796	20
975	796	19
976	797	18
977	797	17
978	798	17
979	798	16
980	799	15
981	799	14
982	800	13
983	800	13
984	801	12
985	801	11
986	802	10
987	802	9
988	803	8
989	803	8
990	804	7
991	804	6
992	805	5
993	805	4
994	806	4
995	806	3
996	807	2
997	807	1
998	808	0
999	808	0
